symbol,date,industry,market_cap,pe_ttm,pb,source
000026,2026-09-02,珠宝首饰,8042000000.0,76.32,2.38,tencent.quote+sina.sw_industry
000034,2026-09-02,IT服务,24076000000.0,40.63,2.11,tencent.quote+sina.sw_industry
000676,2026-09-02,移动互联网服务,8907000000.0,43.99,2.07,tencent.quote+sina.sw_industry
000729,2026-09-02,啤酒,31820999999.999996,16.11,1.95,tencent.quote+sina.sw_industry
000759,2026-09-02,超市,4067000000.0,-4.08,8.05,tencent.quote+sina.sw_industry
000892,2026-09-02,影视动漫,5101000000.0,-13.09,10.09,tencent.quote+sina.sw_industry
000938,2026-09-02,IT服务,108654000000.0,38.65,6.08,tencent.quote+sina.sw_industry
001301,2026-09-02,锂,20699000000.0,23.89,2.88,tencent.quote+sina.sw_industry
001330,2026-09-02,影视动漫,7917000000.0,-13.7,2.14,tencent.quote+sina.sw_industry
002080,2026-09-02,玻纤,85232000000.0,42.05,4.18,tencent.quote+sina.sw_industry
002083,2026-09-02,棉纺,9760000000.0,16.66,2.02,tencent.quote+sina.sw_industry
002156,2026-09-02,集成电路,90601000000.0,35.89,5.38,tencent.quote+sina.sw_industry
002272,2026-09-02,机械基础件,8219000000.0,-237.41,5.59,tencent.quote+sina.sw_industry
002281,2026-09-02,通信传输设备,143582000000.0,124.19,9.93,tencent.quote+sina.sw_industry
002328,2026-09-02,汽车零部件,7084999999.999999,17.6,2.02,tencent.quote+sina.sw_industry
002353,2026-09-02,冶金矿采化工设备,126518000000.0,48.01,5.43,tencent.quote+sina.sw_industry
002384,2026-09-02,印制电路板,335972000000.0,93.72,13.79,tencent.quote+sina.sw_industry
002407,2026-09-02,氟化工及制冷剂,40118000000.0,59.58,4.62,tencent.quote+sina.sw_industry
002512,2026-09-02,计算机,4619000000.0,-39.84,14.34,tencent.quote+sina.sw_industry
002517,2026-09-02,移动互联网服务,35785000000.0,15.02,3.41,tencent.quote+sina.sw_industry
002552,2026-09-02,机械基础件,18592000000.0,78.04,11.35,tencent.quote+sina.sw_industry
002579,2026-09-02,印制电路板,8473000000.0,-104.9,3.68,tencent.quote+sina.sw_industry
002655,2026-09-02,电子系统组装,13716000000.0,305.46,15.67,tencent.quote+sina.sw_industry
002739,2026-09-02,影视动漫,17612000000.0,-99.66,2.45,tencent.quote+sina.sw_industry
002747,2026-09-02,其它通用机械,29457000000.0,147.57,8.94,tencent.quote+sina.sw_industry
002832,2026-09-02,其他服装,14438999999.999998,23.03,2.66,tencent.quote+sina.sw_industry
002837,2026-09-02,机械设备,84584000000.0,172.26,23.6,tencent.quote+sina.sw_industry
002851,2026-09-02,电气设备,69353000000.0,309.29,7.59,tencent.quote+sina.sw_industry
002957,2026-09-02,其它专用机械,16346000000.0,52.5,4.94,tencent.quote+sina.sw_industry
002975,2026-09-02,其它专用机械,20278000000.0,68.24,8.21,tencent.quote+sina.sw_industry
