symbol,name,initials,pinyin,search_label,snapshot_date
000001,平安银行,PAYH,pinganyinhang,000001  平安银行  ·  PAYH,2026-09-02
000002,万  科Ａ,W  KＡ,wan  keａ,000002  万  科Ａ  ·  W  KＡ,2026-09-02
000006,深振业Ａ,SZYＡ,shenzhenyeａ,000006  深振业Ａ  ·  SZYＡ,2026-09-02
000007,全新好,QXH,quanxinhao,000007  全新好  ·  QXH,2026-09-02
000008,神州高铁,SZGT,shenzhougaotie,000008  神州高铁  ·  SZGT,2026-09-02
000009,中国宝安,ZGBA,zhongguobaoan,000009  中国宝安  ·  ZGBA,2026-09-02
000010,*ST美丽,*STML,*stmeili,000010  *ST美丽  ·  *STML,2026-09-02
000011,深物业A,SWYA,shenwuyea,000011  深物业A  ·  SWYA,2026-09-02
000012,南  玻Ａ,N  BＡ,nan  boａ,000012  南  玻Ａ  ·  N  BＡ,2026-09-02
000014,沙河股份,SHGF,shahegufen,000014  沙河股份  ·  SHGF,2026-09-02
000016,*ST康佳A,*STKJA,*stkangjiaa,000016  *ST康佳A  ·  *STKJA,2026-09-02
000017,深中华A,SZHA,shenzhonghuaa,000017  深中华A  ·  SZHA,2026-09-02
000019,深粮控股,SLKG,shenliangkonggu,000019  深粮控股  ·  SLKG,2026-09-02
000020,深华发Ａ,SHFＡ,shenhuafaａ,000020  深华发Ａ  ·  SHFＡ,2026-09-02
000021,深科技,SKJ,shenkeji,000021  深科技  ·  SKJ,2026-09-02
000025,特  力Ａ,T  LＡ,te  liａ,000025  特  力Ａ  ·  T  LＡ,2026-09-02
000026,飞亚达,FYD,feiyada,000026  飞亚达  ·  FYD,2026-09-02
000027,深圳能源,SZNY,shenzhennengyuan,000027  深圳能源  ·  SZNY,2026-09-02
000028,国药一致,GYYZ,guoyaoyizhi,000028  国药一致  ·  GYYZ,2026-09-02
000029,深深房Ａ,SSFＡ,shenshenfangａ,000029  深深房Ａ  ·  SSFＡ,2026-09-02
000030,富奥股份,FAGF,fuaogufen,000030  富奥股份  ·  FAGF,2026-09-02
000031,大悦城,DYC,dayuecheng,000031  大悦城  ·  DYC,2026-09-02
000032,深桑达Ａ,SSDＡ,shensangdaａ,000032  深桑达Ａ  ·  SSDＡ,2026-09-02
000034,神州数码,SZSM,shenzhoushuma,000034  神州数码  ·  SZSM,2026-09-02
000035,中国天楹,ZGTY,zhongguotianying,000035  中国天楹  ·  ZGTY,2026-09-02
000036,华联控股,HLKG,hualiankonggu,000036  华联控股  ·  HLKG,2026-09-02
000037,深南电A,SNDA,shennandiana,000037  深南电A  ·  SNDA,2026-09-02
000039,中集集团,ZJJT,zhongjijituan,000039  中集集团  ·  ZJJT,2026-09-02
000042,中洲控股,ZZKG,zhongzhoukonggu,000042  中洲控股  ·  ZZKG,2026-09-02
000045,深纺织Ａ,SFZＡ,shenfangzhiａ,000045  深纺织Ａ  ·  SFZＡ,2026-09-02
000048,京基智农,JJZN,jingjizhinong,000048  京基智农  ·  JJZN,2026-09-02
000049,德赛电池,DSDC,desaidianchi,000049  德赛电池  ·  DSDC,2026-09-02
000050,深天马Ａ,STMＡ,shentianmaａ,000050  深天马Ａ  ·  STMＡ,2026-09-02
000055,方大集团,FDJT,fangdajituan,000055  方大集团  ·  FDJT,2026-09-02
000056,*ST皇庭,*STHT,*sthuangting,000056  *ST皇庭  ·  *STHT,2026-09-02
000058,深 赛 格,S S G,shen sai ge,000058  深 赛 格  ·  S S G,2026-09-02
000059,华锦股份,HJGF,huajingufen,000059  华锦股份  ·  HJGF,2026-09-02
000060,中金岭南,ZJLN,zhongjinlingnan,000060  中金岭南  ·  ZJLN,2026-09-02
000061,农 产 品,N C P,nong chan pin,000061  农 产 品  ·  N C P,2026-09-02
000062,深圳华强,SZHQ,shenzhenhuaqiang,000062  深圳华强  ·  SZHQ,2026-09-02
000063,中兴通讯,ZXTX,zhongxingtongxun,000063  中兴通讯  ·  ZXTX,2026-09-02
000065,北方国际,BFGJ,beifangguoji,000065  北方国际  ·  BFGJ,2026-09-02
000066,中国长城,ZGCC,zhongguochangcheng,000066  中国长城  ·  ZGCC,2026-09-02
000068,华控赛格,HKSG,huakongsaige,000068  华控赛格  ·  HKSG,2026-09-02
000069,华侨城Ａ,HQCＡ,huaqiaochengａ,000069  华侨城Ａ  ·  HQCＡ,2026-09-02
000070,特发信息,TFXX,tefaxinxi,000070  特发信息  ·  TFXX,2026-09-02
000078,ST海王,STHW,sthaiwang,000078  ST海王  ·  STHW,2026-09-02
000088,盐 田 港,Y T G,yan tian gang,000088  盐 田 港  ·  Y T G,2026-09-02
000089,深圳机场,SZJC,shenzhenjichang,000089  深圳机场  ·  SZJC,2026-09-02
000090,天健集团,TJJT,tianjianjituan,000090  天健集团  ·  TJJT,2026-09-02
000096,广聚能源,GJNY,guangjunengyuan,000096  广聚能源  ·  GJNY,2026-09-02
000099,中信海直,ZXHZ,zhongxinhaizhi,000099  中信海直  ·  ZXHZ,2026-09-02
000100,TCL科技,TCLKJ,tclkeji,000100  TCL科技  ·  TCLKJ,2026-09-02
000151,中成股份,ZCGF,zhongchenggufen,000151  中成股份  ·  ZCGF,2026-09-02
000153,丰原药业,FYYY,fengyuanyaoye,000153  丰原药业  ·  FYYY,2026-09-02
000155,川能动力,CNDL,chuannengdongli,000155  川能动力  ·  CNDL,2026-09-02
000156,华数传媒,HSCM,huashuchuanmei,000156  华数传媒  ·  HSCM,2026-09-02
000157,中联重科,ZLZK,zhonglianzhongke,000157  中联重科  ·  ZLZK,2026-09-02
000158,常山北明,CSBM,changshanbeiming,000158  常山北明  ·  CSBM,2026-09-02
000159,国际实业,GJSY,guojishiye,000159  国际实业  ·  GJSY,2026-09-02
000166,申万宏源,SWHY,shenwanhongyuan,000166  申万宏源  ·  SWHY,2026-09-02
000301,东方盛虹,DFSH,dongfangshenghong,000301  东方盛虹  ·  DFSH,2026-09-02
000333,美的集团,MDJT,meidejituan,000333  美的集团  ·  MDJT,2026-09-02
000338,潍柴动力,WCDL,weichaidongli,000338  潍柴动力  ·  WCDL,2026-09-02
000400,许继电气,XJDQ,xujidianqi,000400  许继电气  ·  XJDQ,2026-09-02
000401,金隅冀东,JYJD,jinyujidong,000401  金隅冀东  ·  JYJD,2026-09-02
000402,金 融 街,J R J,jin rong jie,000402  金 融 街  ·  J R J,2026-09-02
000403,派林生物,PLSW,pailinshengwu,000403  派林生物  ·  PLSW,2026-09-02
000404,长虹华意,CHHY,changhonghuayi,000404  长虹华意  ·  CHHY,2026-09-02
